id,title,asset,givens_81,solution_81,clues,stored_difficulty,stored_score,rerated_difficulty,rerated_score,human_solved,solution_count,step_count,required_techniques,technique_counts,ranked_eligible,audit_reason
extreme_156,Extreme Challenge 156,assets/puzzles/extreme/extreme_03.json,008000609020009000000381000000030018800000000090008405050600080061802000200594000,138257649725469831946381527574936218812745396693128475459613782361872954287594163,27,expert,220,hard,195,true,1,64,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:47|hidden_single:7|naked_pair:5|hidden_pair:1|pointing_pair:4,true,"Considered hard/expert because it requires hidden_pair, naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as hard with score 195, and the rater has no Extreme output band."
extreme_175,Extreme Challenge 175,assets/puzzles/extreme/extreme_03.json,307000080040003900090460000709000060005007204100800300000029000410030700070000003,357912486846573921291468537739241865685397214124856379563729148418635792972184653,27,expert,220,hard,190,true,1,62,hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:16|naked_pair:3|pointing_pair:5|naked_single:38,true,"Considered hard/expert because it requires naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as hard with score 190, and the rater has no Extreme output band."
extreme_103,Extreme Challenge 103,assets/puzzles/extreme/extreme_02.json,001076009000500000006000020000789000000000062000003907067800200500030096302090400,251376849498521673736948125623789514879415362145263987967854231584132796312697458,27,expert,220,hard,187,true,1,61,hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:20|pointing_pair:5|naked_single:34|naked_pair:2,true,"Considered hard/expert because it requires naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as hard with score 187, and the rater has no Extreme output band."
extreme_240,Extreme Challenge 240,assets/puzzles/extreme/extreme_04.json,043000208060000100000806009700000004000082000030050807006040000107009003300008090,943517268862934175571826349728693514415782936639451827296345781187269453354178692,26,expert,220,hard,184,true,1,62,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:40|hidden_single:15|naked_pair:2|hidden_pair:2|pointing_pair:3,true,"Considered hard/expert because it requires hidden_pair, naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as hard with score 184, and the rater has no Extreme output band."
extreme_136,Extreme Challenge 136,assets/puzzles/extreme/extreme_03.json,000000070006020408230080000070000004465090080008000700004000830780005096600300000,841659372596723418237184965972831654465297183318546729154962837783415296629378541,27,expert,220,hard,181,true,1,60,hidden_pair|hidden_single|naked_single|pointing_pair,hidden_single:19|hidden_pair:5|pointing_pair:1|naked_single:35,true,"Considered hard/expert because it requires hidden_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as hard with score 181, and the rater has no Extreme output band."
extreme_195,Extreme Challenge 195,assets/puzzles/extreme/extreme_04.json,618002700090000000000500800084203600000900010076000000000706280760004000000095000,618432759597681342423579861184253697235967418976148523359716284761824935842395176,26,expert,220,medium,180,true,1,63,hidden_pair|hidden_single|naked_pair|naked_single,hidden_single:10|naked_pair:6|hidden_pair:2|naked_single:45,true,"Considered hard/expert because it requires hidden_pair, naked_pair; not true Extreme because current rater classifies the puzzle as medium with score 180, and the rater has no Extreme output band."
extreme_212,Extreme Challenge 212,assets/puzzles/extreme/extreme_04.json,108095060000010000940000008007020480080067000030009000000000004000050372000184000,128495763763218945945673128657321489489567231231849657596732814814956372372184596,26,expert,220,medium,180,true,1,62,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:42|hidden_single:13|naked_pair:3|pointing_pair:4,true,"Considered hard/expert because it requires naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as medium with score 180, and the rater has no Extreme output band."
extreme_201,Extreme Challenge 201,assets/puzzles/extreme/extreme_04.json,000400100004051700109000006005074000003000201000502000000000000321000500590120070,732468195864951723159237846215374968473689251986512437647895312321746589598123674,26,expert,220,medium,174,true,1,60,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:23|hidden_pair:1|naked_pair:2|pointing_pair:2|naked_single:32,true,"Considered hard/expert because it requires hidden_pair, naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as medium with score 174, and the rater has no Extreme output band."
extreme_217,Extreme Challenge 217,assets/puzzles/extreme/extreme_04.json,020709000107000602300002010000007000040300090078150306700900000010000200000008040,826719435197435682354682719263897154541326897978154326782941563419563278635278941,26,expert,220,medium,174,true,1,61,hidden_pair|hidden_single|naked_single|pointing_pair,naked_single:45|hidden_single:10|hidden_pair:3|pointing_pair:3,true,"Considered hard/expert because it requires hidden_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as medium with score 174, and the rater has no Extreme output band."
extreme_145,Extreme Challenge 145,assets/puzzles/extreme/extreme_03.json,290003000000000713000805000020061000000430009000000600960314800130500000002600004,296173485485926713713845296529761348671438529348259671967314852134582967852697134,27,expert,220,medium,171,true,1,60,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:13|hidden_pair:1|naked_pair:2|pointing_pair:3|naked_single:41,true,"Considered hard/expert because it requires hidden_pair, naked_pair, pointing_pair; not true Extreme because current rater classifies the puzzle as medium with score 171, and the rater has no Extreme output band."
