id,title,asset,givens_81,solution_81,clues,stored_difficulty,stored_score,rerated_difficulty,rerated_score,human_solved,solution_count,step_count,required_techniques,technique_counts,ranked_eligible,audit_reason
mastery_210,Mastery 210,assets/puzzles/mastery/mastery_04.json,100720035000400000305000700701204583020000071800000000030000900000386007200040000,186729435972453816345861792761294583429538671853617249638172954594386127217945368,28,hard,185,hard,181,true,1,60,hidden_pair|hidden_single|naked_single|pointing_pair,hidden_single:12|hidden_pair:2|pointing_pair:5|naked_single:41,true,"Requires hidden_pair, pointing_pair; current rater classifies the puzzle as hard with score 181."
mastery_154,Mastery 154,assets/puzzles/mastery/mastery_03.json,000800605030010080004006000800030009960080203340005070750000006400003050003009010,197824635536917482284356791871432569965781243342695178759148326418263957623579814,29,hard,185,medium,179,true,1,60,hidden_pair|hidden_single|naked_pair|naked_single,naked_single:39|hidden_single:13|naked_pair:5|hidden_pair:3,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 179."
mastery_134,Mastery 134,assets/puzzles/mastery/mastery_03.json,070490000080003007506000090060750009000040000020000340017004005050970084000205900,172498563489563127536127498364752819891346752725819346917684235253971684648235971,29,hard,185,medium,172,true,1,58,hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:20|naked_pair:3|pointing_pair:3|naked_single:32,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 172."
mastery_257,Mastery 257,assets/puzzles/mastery/mastery_05.json,185020670000500000020046000003054010406108037000000060700000080030000500504000006,185923674647581392329746158273654819456198237891372465762415983938267541514839726,28,hard,185,medium,168,true,1,58,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:32|hidden_single:21|naked_pair:2|pointing_pair:3,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 168."
mastery_226,Mastery 226,assets/puzzles/mastery/mastery_04.json,069000002000103060200600078900000000000000740500801029094000200150302000000074800,469785312875123964213649578926457183381296745547831629794518236158362497632974851,28,hard,185,medium,167,true,1,59,hidden_pair|hidden_single|naked_single|pointing_pair,naked_single:46|hidden_single:7|hidden_pair:2|pointing_pair:4,true,"Requires hidden_pair, pointing_pair; current rater classifies the puzzle as medium with score 167."
mastery_192,Mastery 192,assets/puzzles/mastery/mastery_04.json,058000070000040100163009400300000001000600700000501062000090503900103607000060040,458316279297845136163729485326974851815632794749581362672498513984153627531267948,28,hard,185,medium,165,true,1,58,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:18|naked_single:35|naked_pair:2|hidden_pair:1|pointing_pair:2,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 165."
mastery_084,Mastery 84,assets/puzzles/mastery/mastery_02.json,508000004090730025030000000004003000080409003005000010000050908000300257000068341,528196734691734825437825196914573682286419573375682419143257968869341257752968341,29,hard,185,medium,163,true,1,57,hidden_single|naked_single|pointing_pair,naked_single:38|hidden_single:14|pointing_pair:5,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 163.
mastery_209,Mastery 209,assets/puzzles/mastery/mastery_04.json,002000000004020591090700030000000009000060183100005200027900000900054007005302010,832519764764823591591746832276138459459267183183495276327981645918654327645372918,28,hard,185,medium,163,true,1,57,hidden_single|naked_single|pointing_pair,naked_single:32|hidden_single:21|pointing_pair:4,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 163.
mastery_131,Mastery 131,assets/puzzles/mastery/mastery_03.json,400100290020050801007000000702005100905000300000030059000090010001873940200000700,456187293329456871187329564732945186945618327618732459873294615561873942294561738,29,hard,185,medium,161,true,1,57,hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:18|naked_pair:3|pointing_pair:2|naked_single:34,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 161."
mastery_258,Mastery 258,assets/puzzles/mastery/mastery_05.json,100706000002901780000420000000608072069000003000140000001007004000010200706300010,193786425542931786678425931314698572869572143257143698981267354435819267726354819,28,hard,185,medium,161,true,1,58,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:14|naked_pair:2|hidden_pair:2|pointing_pair:1|naked_single:39,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 161."
mastery_079,Mastery 79,assets/puzzles/mastery/mastery_02.json,300650020270103000000000134040006070000000003603890400000005000800204301001000247,314659728278143695965782134142536879789421563653897412427315986896274351531968247,30,hard,185,medium,160,true,1,56,hidden_single|naked_single|pointing_pair,hidden_single:13|naked_single:38|pointing_pair:5,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 160.
mastery_164,Mastery 164,assets/puzzles/mastery/mastery_03.json,308000000000900045600001090000812903001500400003700081700000060800090700000100032,398456127127983645645271398476812953281539476953764281714328569832695714569147832,28,hard,185,medium,160,true,1,59,hidden_pair|hidden_single|naked_pair|naked_single,naked_single:43|hidden_single:10|naked_pair:5|hidden_pair:1,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 160."
mastery_188,Mastery 188,assets/puzzles/mastery/mastery_04.json,007200003090050000080000902700000345020040000500090200006907030000031004003060720,647219853291358476385674912769182345128543697534796281456927138972831564813465729,28,hard,185,medium,160,true,1,57,hidden_pair|hidden_single|naked_single|pointing_pair,hidden_single:18|hidden_pair:2|pointing_pair:2|naked_single:35,true,"Requires hidden_pair, pointing_pair; current rater classifies the puzzle as medium with score 160."
mastery_204,Mastery 204,assets/puzzles/mastery/mastery_04.json,390000010000000379200007064700060048000014002000205600000002406970000080003000020,397486215846521379251937864725369148639814752184275693518792436972643581463158927,28,hard,185,medium,157,true,1,59,hidden_single|naked_pair|naked_single,naked_single:44|hidden_single:9|naked_pair:6,true,Requires naked_pair; current rater classifies the puzzle as medium with score 157.
mastery_265,Mastery 265,assets/puzzles/mastery/mastery_05.json,000900804800653000000000563000009080400002100302500009010000008000368005030000207,563971824824653791791284563156749382479832156382516479915427638247368915638195247,28,hard,185,medium,157,true,1,56,hidden_single|naked_single|pointing_pair,naked_single:29|hidden_single:24|pointing_pair:3,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 157.
mastery_152,Mastery 152,assets/puzzles/mastery/mastery_03.json,080040005040100070030082060000801947700050000000407006010900600460003000070004020,287649315946135872531782469653821947794356281128497536312978654465213798879564123,29,hard,185,medium,156,true,1,57,hidden_pair|hidden_single|naked_pair|naked_single,hidden_single:13|naked_single:39|hidden_pair:2|naked_pair:3,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 156."
mastery_191,Mastery 191,assets/puzzles/mastery/mastery_04.json,090060032003007806000100004070096000000300040000010069700000400500401097300009200,497865132213947856685123974174596328956382741832714569769258413528431697341679285,28,hard,185,medium,155,true,1,56,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,hidden_single:24|naked_single:29|naked_pair:1|hidden_pair:1|pointing_pair:1,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 155."
mastery_132,Mastery 132,assets/puzzles/mastery/mastery_03.json,000000000402905300900630080800590600070040005020100030008054100790080000040700003,613428759482975316957631284834592671176843925529167438368254197791386542245719863,29,hard,185,medium,154,true,1,56,hidden_pair|hidden_single|naked_pair|naked_single,hidden_single:20|naked_pair:3|naked_single:32|hidden_pair:1,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 154."
mastery_089,Mastery 89,assets/puzzles/mastery/mastery_02.json,000000300050000040309170020003801700090000000006023810238010056900000003060208000,174652398652389147389174625523891764891746532746523819238917456917465283465238971,29,hard,185,medium,152,true,1,56,hidden_pair|hidden_single|naked_single|pointing_pair,hidden_single:12|hidden_pair:1|pointing_pair:3|naked_single:40,true,"Requires hidden_pair, pointing_pair; current rater classifies the puzzle as medium with score 152."
mastery_146,Mastery 146,assets/puzzles/mastery/mastery_03.json,500018070074000981000047060008070000000289100030400200040600813009000040000700000,562918374374526981981347562298173456456289137137465298745692813629831745813754629,29,hard,185,medium,152,true,1,56,hidden_pair|hidden_single|naked_pair|naked_single,hidden_single:16|naked_pair:2|naked_single:36|hidden_pair:2,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 152."
mastery_211,Mastery 211,assets/puzzles/mastery/mastery_04.json,000000528000000000109200040710800005002100389903020000200904000008000000090580602,647391528825476931139258746714839265562147389983625417276914853358762194491583672,28,hard,185,medium,152,true,1,57,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:41|hidden_single:12|hidden_pair:2|naked_pair:1|pointing_pair:1,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 152."
mastery_054,Mastery 54,assets/puzzles/mastery/mastery_01.json,068250791205090000009006004020000900900042517000000040000075000103000400007100008,368254791245791386719386254824517963936842517571963842682475139193628475457139628,30,hard,185,medium,151,true,1,55,hidden_single|naked_single|pointing_pair,naked_single:38|hidden_single:13|pointing_pair:4,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 151.
mastery_081,Mastery 81,assets/puzzles/mastery/mastery_02.json,057000100000540009002000470746000300000006050005130060024008007900700000670004900,457982136163547829892613475746825391319476258285139764524398617938761542671254983,29,hard,185,medium,151,true,1,55,hidden_single|naked_single|pointing_pair,hidden_single:20|naked_single:32|pointing_pair:3,true,Requires pointing_pair; current rater classifies the puzzle as medium with score 151.
mastery_174,Mastery 174,assets/puzzles/mastery/mastery_03.json,000070200007000061800401070680000005030000047000395000253000000460710500900000004,146973258397258461825461973682147395539826147714395826253684719468719532971532684,28,hard,185,medium,150,true,1,57,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:43|hidden_single:10|naked_pair:1|pointing_pair:2|hidden_pair:1,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 150."
mastery_214,Mastery 214,assets/puzzles/mastery/mastery_04.json,097600000000003000810200793041507000035080040600000030120000009003000000570000820,397618254452793618816254793241537986735986142689142537128475369963821475574369821,28,hard,185,medium,150,true,1,57,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:39|hidden_single:14|naked_pair:3|pointing_pair:1,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 150."
mastery_092,Mastery 92,assets/puzzles/mastery/mastery_02.json,008700103005009007070000080400510098000200705000090060804102009090000001200030040,948726153135489627672351984426517398389264715751893462864172539593648271217935846,29,hard,185,medium,149,true,1,56,hidden_pair|hidden_single|naked_pair|naked_single|pointing_pair,naked_single:41|hidden_single:11|naked_pair:1|hidden_pair:2|pointing_pair:1,true,"Requires hidden_pair, naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 149."
mastery_097,Mastery 97,assets/puzzles/mastery/mastery_02.json,000904000403020700600000003006000370004009800005340200051070030007600500060512000,578934162493126758612785943926851374734269815185347296251478639847693521369512487,29,hard,185,medium,149,true,1,56,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:37|hidden_single:15|naked_pair:3|pointing_pair:1,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 149."
mastery_150,Mastery 150,assets/puzzles/mastery/mastery_03.json,000028003000700960700690208009300700000800030012005609000007826080000400900006000,694128573128753964753694218869312745475869132312475689531947826286531497947286351,29,hard,185,medium,149,true,1,56,hidden_single|naked_pair|naked_single,naked_single:35|hidden_single:17|naked_pair:4,true,Requires naked_pair; current rater classifies the puzzle as medium with score 149.
mastery_216,Mastery 216,assets/puzzles/mastery/mastery_04.json,004800000610400030238060000900000040006010002007208050000000001570900060003007409,794823615615479238238561794982635147356714982147298356429386571571942863863157429,28,hard,185,medium,149,true,1,57,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:44|hidden_single:9|pointing_pair:3|naked_pair:1,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 149."
mastery_221,Mastery 221,assets/puzzles/mastery/mastery_04.json,640090007750204100001000200205400008070006001000307000089052004020040000000000700,642193857758264139931875246265419378873526491194387562389752614527641983416938725,28,hard,185,medium,149,true,1,57,hidden_single|naked_pair|naked_single|pointing_pair,naked_single:42|hidden_single:11|naked_pair:2|pointing_pair:2,true,"Requires naked_pair, pointing_pair; current rater classifies the puzzle as medium with score 149."
mastery_241,Mastery 241,assets/puzzles/mastery/mastery_05.json,000470286007000000600900003070004000800030000426508300008390060000007002000002930,195473286347826591682951743973264158851739624426518379218395467539647812764182935,28,hard,185,medium,149,true,1,56,hidden_pair|hidden_single|naked_pair|naked_single,naked_single:33|hidden_single:20|naked_pair:2|hidden_pair:1,true,"Requires hidden_pair, naked_pair; current rater classifies the puzzle as medium with score 149."
